,crypto_candidate,crypto_benchmark,crypto_optimizer,crypto_bench:Comprar y aguantar BTC,"crypto_bench:Pesos iguales, rebalanceo mensual",crypto_bench:Regla de tendencia solo BTC,stocks_candidate,stocks_benchmark,stocks_optimizer,stocks_bench:Comprar y aguantar SPY,"stocks_bench:Pesos iguales, rebalanceo mensual",stocks_bench:60/40 (SPY/IEF),stocks_passive
2010-01-10,,,,,,,1.0107,1.0281,1.0111,1.0281,1.0274,1.0184,1.0184
2010-01-17,,,,,,,1.0053,1.0197,1.0057,1.0197,1.0185,1.0184,1.0184
2010-01-24,,,,,,,0.9849,0.98,0.9853,0.98,0.981,0.9971,0.9971
2010-01-31,,,,,,,0.9789,0.9637,0.9793,0.9637,0.9631,0.9878,0.9878
2010-02-07,,,,,,,0.9682,0.9571,0.9686,0.9571,0.9554,0.9858,0.9858
2010-02-14,,,,,,,0.9643,0.9695,0.9646,0.9695,0.9679,0.99,0.99
2010-02-21,,,,,,,0.9836,0.9973,0.984,0.9973,0.9945,1.0041,1.0041
2010-02-28,,,,,,,0.9838,0.9937,0.9842,0.9937,0.9914,1.0071,1.0071
2010-03-07,,,,,,,1.0065,1.0252,1.0068,1.0252,1.0245,1.025,1.025
2010-03-14,,,,,,,1.0147,1.0361,1.0151,1.0361,1.0331,1.031,1.031
2010-03-21,,,,,,,1.0209,1.0449,1.0213,1.0449,1.0387,1.0368,1.0368
2010-03-28,,,,,,,1.0269,1.0504,1.0273,1.0504,1.041,1.0359,1.0359
2010-04-04,,,,,,,1.032,1.0614,1.0324,1.0614,1.0577,1.0424,1.0424
2010-04-11,,,,,,,1.0425,1.0772,1.0429,1.0772,1.0731,1.0519,1.0519
2010-04-18,,,,,,,1.0413,1.0755,1.0417,1.0755,1.0675,1.0548,1.0548
2010-04-25,,,,,,,1.0629,1.0976,1.0633,1.0976,1.0901,1.0664,1.0664
2010-05-02,,,,,,,1.0466,1.0705,1.047,1.0705,1.0695,1.0555,1.0555
2010-05-09,,,,,,,1.0036,1.0025,1.004,1.0025,1.0069,1.0215,1.0215
2010-05-16,,,,,,,1.002,1.0262,1.0024,1.0262,1.0329,1.0358,1.0358
2010-05-23,,,,,,,0.9881,0.9831,0.9885,0.9831,0.9927,1.0169,1.0169
2010-05-30,,,,,,,0.9883,0.9855,0.9887,0.9855,1.002,1.0167,1.0167
2010-06-06,,,,,,,0.984,0.9625,0.9844,0.9625,0.9795,1.0064,1.0064
2010-06-13,,,,,,,0.9829,0.9883,0.9833,0.9883,1.0076,1.021,1.021
